Title,Platform,Imbibed,Completed,Favorite
Tamagotchi,Game Boy,,,
Teenage Mutant Ninja Turtles: Fall of the Footclan,Game Boy,,,
Tetris Plus,Game Boy,,,
The Adventures Of Mighty Max,Nintendo Super NES,TRUE,,
The Granstream Saga,Playstation,TRUE,,
The ICO and Shadow of the Colossus Collection,PlayStation 3,TRUE,TRUE,
The Legend of Dragoon,PlayStation,TRUE,,
The Legend of Zelda,Nintendo NES,TRUE,,
The Legend of Zelda: A Link Between Worlds,Nintendo 3DS,TRUE,,
The Legend of Zelda: A Link to the Past,Super NES,TRUE,TRUE,
The Legend of Zelda: A Link to the Past (Includes Four Swords Adventure),Game Boy Advance,TRUE,TRUE,
The Legend of Zelda: Breath of the Wild - Switch,Nintendo Switch,TRUE,TRUE,
The Legend of Zelda: Link's Awakening - Nintendo Switch,Nintendo Switch,TRUE,TRUE,
The Legend of Zelda: Majora's Mask - Collector's Edition,Nintendo 64,TRUE,TRUE,
The Legend of Zelda: Majora's Mask 3D,Nintendo 3DS,TRUE,TRUE,
The Legend of Zelda: Ocarina of Time,Nintendo 64,TRUE,TRUE,
The Legend of Zelda: Oracle of Ages,Game Boy Color,TRUE,,
The Legend of Zelda: Oracle of Seasons,Game Boy Color,TRUE,,
The Legend of Zelda: Skyward Sword,Nintendo Wii,TRUE,,
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,,,
The Legend of Zelda: The Wind Waker,GameCube,TRUE,,
The Legend of Zelda: Twilight Princess,Nintendo Wii,TRUE,,
The Lord of the Rings The Third Age,Xbox,TRUE,,
"The Lord of the Rings, Volume 1",Nintendo Super NES,TRUE,,
The Magical Quest Starring Mickey Mouse,Nintendo Super NES,TRUE,,
The Simpsons Hit &amp; Run,PlayStation 2,TRUE,,
Theatrhythm Final Fantasy Curtain Call,Nintendo 3DS,TRUE,,
Tiger Woods PGA Tour 10,PlayStation 3,,,
Tom Clancy's Splinter Cell,Xbox,,,
Tom Clancy's Splinter Cell Pandora Tomorrow,Xbox,,,
Tony Hawk's Pro Skater,Game Boy Color,,,
Tony Hawk's Pro Skater,Nintendo 64,,,
Top Gun,PlayStation 2,,,
Triangle Strategy,Nintendo Switch,,,
True Crime: Streets of LA,GameCube,TRUE,,
Turok 2: Seeds of Evil,Nintendo 64,,,
Unicorn Overlord,Nintendo Switch,,,
Unlimited Saga,PlayStation 2,TRUE,,
Vagrant Story,PlayStation,TRUE,,
Valkyria Chronicles,PlayStation 3,TRUE,,
Wargroove,Nintendo Switch,TRUE,TRUE,
"Warhammer 40,000 Dawn of War Gold Edition",Windows 98,TRUE,TRUE,
Warlocked,Game Boy Color,TRUE,,
Wii Play,Nintendo Wii,TRUE,TRUE,
Wii Sports Resort,Nintendo Wii,TRUE,TRUE,
Wii Sports Resort: Bundle Version,Nintendo Wii,TRUE,TRUE,
WinBack: Covert Operations,PlayStation 2,TRUE,,
Worms 3D,GameCube,TRUE,,
Worms Armageddon,Game Boy Color,TRUE,,
X-Men: Mutant Apocalypse,Super Nintendo,TRUE,,
Xenosaga,PlayStation 2,TRUE,,
Yoshi Touch and Go,Nintendo DS,TRUE,,
Yoshi's Crafted World,Nintendo Switch,TRUE,TRUE,
Yoshi's Island DS,Nintendo DS,TRUE,TRUE,
Yoshi's Story,Nintendo 64,TRUE,TRUE,
Zoop,Nintendo Super NES,TRUE,,
